Date,Time,NO2 (µg/m3),PM10 (µg/m3),PM2.5 (µg/m3),Datetime
2020-01-15,13,14.05299,19.35,9.316,2020-01-15 13:00:00
2020-01-15,14,12.40304,17.375,8.561,2020-01-15 14:00:00
2020-01-15,15,13.53385,17.225,9.198,2020-01-15 15:00:00
2020-01-15,16,15.54021,17.975,10.59,2020-01-15 16:00:00
2020-01-15,17,17.28812,15.175,8.09,2020-01-15 17:00:00
2020-01-15,18,15.79414,14.075,7.5,2020-01-15 18:00:00
2020-01-15,19,14.35441,13.575,7.406,2020-01-15 19:00:00
2020-01-15,20,11.37095,13.45,6.91,2020-01-15 20:00:00
2020-01-15,21,9.92858,12.8,6.887,2020-01-15 21:00:00
2020-01-15,22,11.62714,12.575,6.816,2020-01-15 22:00:00
2020-01-15,23,9.51793,11.375,6.014,2020-01-15 23:00:00
2020-01-15,00,10.03106,11.95,6.226,2020-01-15 00:00:00
2020-01-16,01,10.22732,12.5,6.439,2020-01-16 01:00:00
2020-01-16,02,6.22987,10.5,5.377,2020-01-16 02:00:00
2020-01-16,03,12.09678,10.475,5.118,2020-01-16 03:00:00
2020-01-16,04,7.36169,10.975,5.212,2020-01-16 04:00:00
2020-01-16,05,8.9051,9.0,4.458,2020-01-16 05:00:00
2020-01-16,06,4.22073,3.825,2.17,2020-01-16 06:00:00
2020-01-16,07,7.00157,3.8,2.099,2020-01-16 07:00:00
2020-01-16,08,9.62697,8.175,4.387,2020-01-16 08:00:00
2020-01-16,09,15.34128,11.8,5.66,2020-01-16 09:00:00
2020-01-16,10,14.31641,7.725,3.844,2020-01-16 10:00:00
2020-01-16,11,9.78346,9.65,4.741,2020-01-16 11:00:00
2020-01-16,12,12.45884,11.6,5.354,2020-01-16 12:00:00
2020-01-16,13,12.71587,10.275,4.953,2020-01-16 13:00:00
2020-01-16,14,15.90682,8.9,4.67,2020-01-16 14:00:00
2020-01-16,15,22.85662,7.8,4.552,2020-01-16 15:00:00
2020-01-16,16,23.99038,4.7,2.594,2020-01-16 16:00:00
2020-01-16,17,14.82855,2.05,1.085,2020-01-16 17:00:00
2020-01-16,18,19.56245,2.6,1.651,2020-01-16 18:00:00
2020-01-16,19,17.24495,8.3,5.118,2020-01-16 19:00:00
2020-01-16,20,14.15531,7.775,4.316,2020-01-16 20:00:00
2020-01-16,21,12.45705,7.025,3.868,2020-01-16 21:00:00
2020-01-16,22,10.60514,10.7,5.708,2020-01-16 22:00:00
2020-01-16,23,10.19311,10.9,5.33,2020-01-16 23:00:00
2020-01-16,00,8.64866,11.2,5.613,2020-01-16 00:00:00
2020-01-17,01,10.50918,10.75,5.472,2020-01-17 01:00:00
2020-01-17,02,8.49954,11.5,5.637,2020-01-17 02:00:00
2020-01-17,03,12.77545,12.175,5.755,2020-01-17 03:00:00
2020-01-17,04,12.62015,12.225,5.755,2020-01-17 04:00:00
2020-01-17,05,15.45418,12.5,5.542,2020-01-17 05:00:00
2020-01-17,06,14.42402,10.95,5.189,2020-01-17 06:00:00
2020-01-17,07,18.13291,10.775,5.283,2020-01-17 07:00:00
2020-01-17,08,37.86553,12.625,5.613,2020-01-17 08:00:00
2020-01-17,09,52.50793,15.75,6.439,2020-01-17 09:00:00
2020-01-17,10,59.88378,17.15,6.863,2020-01-17 10:00:00
